donor, acceptor, , 
925.86, 3318.55, , 
-892.07, 3605.05, , 
1751.63, 3605.13, , 
636.18, -372.96, , 
-476.72, -166.06, , 
-3769.42, 828.60, , 
-423.57, -184.16, , 
-208.67, -150.93, , 
-1003.68, -1025.81, , 
1293.49, -779.96, , 
-1668.25, 61.00, , 
2694.76, -1869.96, , 
-459.66, -878.15, , 
903.27, -477.79, , 
-5037.10, -1005.47, , 
-1713.72, -962.48, , 
3221.22, 228.27, , 
1256.63, -100.95, , 
-856.47, -866.94, , 
-483.08, -625.20, , 
2553.10, -1844.81, , 
-2483.15, 535.74, , 
-2046.67, 411.60, , 
-1454.91, 688.63, , 
-967.51, -882.24, , 
-2835.20, -149.03, , 
506.37, -323.74, , 
26.07, 257.81, , 
1911.50, -962.65, , 
1484.50, -2923.23, , 
1367.78, -677.27, , 
-2604.39, -1491.70, , 
935.44, -1575.01, , 
-1710.63, -1386.38, , 
-859.41, -2084.12, , 
-2009.87, -1371.72, , 
-1216.61, 977.66, , 
-601.41, 204.30, , 
575.11, 340.40, , 
496.14, 1641.80, , 
691.20, -3.04, , 
-1016.70, -289.81, , 
2466.86, -1870.24, , 
2996.92, -90.14, , 
-614.14, -2250.31, , 
589.69, 1367.31, , 
-608.56, -71.85, , 
1778.39, -550.70, , 
-1065.93, -12.65, , 
1444.69, 1739.64, , 
334.02, 1232.06, , 
-1212.04, -1739.40, , 
-312.11, -1208.31, , 
-302.70, -1820.83, , 
-786.34, 3552.90, , 
1527.98, -426.28, , 
1888.35, -2000.53, , 
-6.41, -1059.01, , 
1036.99, -323.58, , 
760.26, -2371.41, , 
1145.27, 1188.68, , 
1363.27, -1397.89, , 
-1202.14, -864.93, , 
208.36, -1352.23, , 
272.37, -874.87, , 
-893.15, -1221.60, , 
38.27, -649.24, , 
-1008.72, -1041.08, , 
2725.26, -88.32, , 
-1415.02, -713.26, , 
-846.11, -1139.26, , 
-118.65, -806.41, , 
1928.01, -2922.26, , 
-2332.34, -159.93, , 
-56.93, -1491.97, , 
-514.07, -1324.03, , 
-1470.07, 1045.88, , 
-1596.05, 3576.37, , 
-2703.65, 848.23, , 
-1598.89, 89.82, , 
303.16, -1660.30, , 
354.60, 2333.00, , 
374.92, 2682.31, , 
-1892.11, -1846.85, , 
1390.99, 94.73, , 
1015.26, -621.55, , 
589.69, -1536.09, , 
-1658.76, 420.37, , 
1901.96, -753.67, , 
-848.67, 503.24, , 
846.94, -1623.31, , 
-214.97, -13.12, , 
1008.57, 666.07, , 
1857.92, -531.71, , 
-82.39, -514.17, , 
2624.71, -1801.54, , 
1270.12, -28.40, , 
1261.01, 633.10, , 
489.66, 871.93, , 
668.23, -836.26, , 
1760.48, -1225.19, , 
-1699.20, -998.39, , 
-617.16, 399.49, , 
546.79, 1547.50, , 
-813.42, -477.58, , 
