donor, acceptor, , 
1082.73, 8815.44, , 
2130.61, 6231.54, , 
-1342.07, 5829.89, , 
-1343.74, 6705.02, , 
-473.30, 6260.38, , 
3003.53, 8018.33, , 
-1463.85, 5083.39, , 
513.43, 8335.08, , 
-746.05, 6537.40, , 
200.32, 9314.65, , 
-1909.08, 10437.84, , 
-539.36, 7940.62, , 
-435.09, 7932.68, , 
1656.34, 6836.87, , 
378.50, 3905.19, , 
374.97, 7920.28, , 
-2264.88, 7404.78, , 
3647.30, 4799.68, , 
4390.34, 4966.44, , 
2535.56, 5886.96, , 
2996.68, 7950.67, , 
2033.27, 7375.92, , 
1439.96, 7276.37, , 
-1033.04, 6347.17, , 
-1115.70, 5031.97, , 
1877.38, 7353.53, , 
3705.86, 5749.20, , 
14.03, 8604.44, , 
320.86, 3938.15, , 
4342.72, 3824.62, , 
1045.70, 8131.12, , 
1907.97, 9561.31, , 
-520.13, 6859.11, , 
1833.69, 5398.79, , 
2902.05, 6891.45, , 
2056.81, 8280.04, , 
624.33, 7546.53, , 
-1148.26, 5973.19, , 
2769.74, 6011.31, , 
1023.35, 4037.18, , 
-2144.18, 7979.00, , 
-1370.34, 5577.81, , 
-1578.71, 5698.72, , 
518.66, 4267.85, , 
191.08, 462.40, , 
597.65, -699.98, , 
144.55, 458.26, , 
-999.27, -1667.81, , 
-568.59, -64.07, , 
-2188.92, -889.22, , 
1235.49, 391.33, , 
-1521.16, -203.52, , 
-2329.12, 360.71, , 
1203.41, -1058.53, , 
-1294.55, 1427.58, , 
457.92, -1797.48, , 
-2822.31, -2569.03, , 
798.91, -1299.91, , 
1771.84, 77.51, , 
-746.69, -1555.75, , 
775.35, -1951.26, , 
1530.40, -858.50, , 
-1136.75, 3442.28, , 
-1871.85, 8650.77, , 
5577.20, 11558.55, , 
159.41, 9333.90, , 
657.80, 7276.82, , 
-1987.92, 8881.96, , 
-852.13, 14382.04, , 
-1718.40, 9944.09, , 
650.92, 8900.91, , 
310.76, 10173.15, , 
1431.03, 9599.10, , 
1261.63, 5662.54, , 
1729.09, -13.34, , 
-2387.43, 2533.63, , 
-679.24, 7845.14, , 
145.91, 8571.22, , 
-2345.57, 4971.50, , 
772.22, 6531.22, , 
-788.79, 3847.23, , 
-127.03, 3729.01, , 
-1082.07, 4923.72, , 
3268.88, 10803.09, , 
-140.31, 4780.51, , 
-1295.37, -294.82, , 
-509.01, -827.21, , 
1093.32, -1884.26, , 
-3051.55, -935.12, , 
-2603.69, 1491.69, , 
-1748.32, 252.12, , 
506.37, 1931.67, , 
1377.20, -1131.94, , 
1485.44, -1500.79, , 
1076.44, -633.09, , 
-2.71, 753.06, , 
-2106.00, 96.21, , 
-1280.69, -602.98, , 
-1930.25, -3101.44, , 
890.68, -2283.80, , 
767.30, 777.66, , 
-914.66, 889.13, , 
-1804.80, -4664.11, , 
-1340.56, -1362.50, , 
-402.75, 645.48, , 
2533.35, 740.64, , 
372.85, -992.09, , 
1155.74, -118.13, , 
-99.22, 293.20, , 
1070.99, -291.88, , 
487.24, -721.54, , 
1026.31, 7.97, , 
525.52, -603.66, , 
284.17, 484.04, , 
-3514.35, 3635.71, , 
2007.80, 1692.04, , 
-1895.73, -624.70, , 
332.65, -823.59, , 
1735.94, -2189.90, , 
652.91, -234.62, , 
-3239.00, -341.67, , 
-944.72, 1061.23, , 
1660.98, -283.38, , 
3741.60, -326.74, , 
136.21, -3136.41, , 
502.72, 497.04, , 
1659.16, 168.03, , 
-199.06, -2668.60, , 
-1464.58, 1536.91, , 
1022.97, 546.07, , 
-1056.37, 808.96, , 
-1067.86, -925.81, , 
-283.81, -417.57, , 
-158.89, -1293.48, , 
1402.22, -954.47, , 
-1635.39, -1164.97, , 
222.32, -175.41, , 
654.75, -733.18, , 
229.54, 319.32, , 
3188.64, 388.51, , 
-300.74, 968.02, , 
1332.90, 410.12, , 
-1466.17, -1734.40, , 
187.78, 1213.73, , 
-1235.41, -178.96, , 
1670.75, -1796.50, , 
1288.58, -1289.43, , 
1294.15, -59.40, , 
627.71, 1272.09, , 
-591.25, 149.51, , 
-953.65, -440.20, , 
1513.98, 604.34, , 
1840.81, -4.45, , 
3983.69, 77.31, , 
403.90, -3068.68, , 
380.09, -326.16, , 
-2684.30, 1615.14, , 
-246.95, -154.16, , 
-1064.94, -1463.07, , 
1000.76, 579.23, , 
951.47, -622.12, , 
-1159.83, -985.92, , 
-3237.02, -1149.20, , 
-3886.69, 30.37, , 
613.52, -1603.91, , 
